0.48557,0.38711,0.56045,0.97422,3,1
0.39642,0.69379,0.66371,0.85206,6,2
0.49018,0.5453,0.59229,0.84668,9,3
0.30701,0.60522,0.65594,0.9719,3,1
0.38382,0.35193,0.64912,0.94726,8,3
0.57282,0.70868,0.50655,0.84563,7,2
0.27452,0.60547,0.66583,0.97079,3,1
0.69389,0.36486,0.47484,0.86578,2,1
0.7622,0.66843,0.45394,0.84506,7,2
0.85355,0.61816,0.46666,0.85311,7,2
0.85405,0.5828,0.60797,0.86359,2,1
0.39461,0.063892,0.65553,0.94473,7,2
0.52716,0.7726,0.50484,0.84296,7,2
0.4028,0.48227,0.70854,0.9763,3,1
0.79978,0.69434,0.49352,0.90397,7,2
0.80518,0.50953,0.4385,0.89981,9,3
0.48207,0.54638,0.57719,0.85222,9,3
0.41868,0.52139,0.6406,0.85355,9,3
0.63236,0.26135,0.61983,0.87494,2,1
0.4753,0.039861,0.59716,0.95111,7,2
0.41221,0.075889,0.64254,0.94133,7,2
0.91607,0.44672,0.42885,0.99229,10,3
0.45307,0.062416,0.5988,0.91442,7,2
0.38839,0.53797,0.6616,0.85393,8,3
0.63892,0.74374,0.57364,0.85096,5,2
0.47573,0.53812,0.46833,0.91471,5,2
0.56337,0.5204,0.55728,0.98667,9,3
0.77066,0.66916,0.52206,0.90704,7,2
0.30421,0.91464,0.2576,0.89985,5,2
0.55426,0.134,0.54964,0.92207,7,2
0.96517,0.50645,0.40348,0.93192,10,3
0.38067,0.55129,0.70916,0.94578,3,1
0.56768,0.77591,0.50126,0.85881,5,2
0.35016,0.57351,0.72034,0.97748,3,1
0.29666,0.59784,0.68301,0.96988,3,1
0.47141,0.418,0.48367,0.9446,7,2
0.87411,0.45512,0.41194,0.98774,10,3
0.68587,0.16632,0.45841,0.96052,5,2
0.57389,0.52902,0.57862,0.98494,9,3
0.38537,0.35429,0.66937,0.88292,5,2
0.28181,0.56564,0.81297,0.92637,3,1
0.85085,0.51524,0.50641,0.89506,9,3
0.74714,0.39238,0.45554,0.86848,2,1
0.67003,0.40766,0.49291,0.87536,2,1
0.35167,0.33007,0.63644,0.86975,2,1
0.348,0.1381,0.68369,0.91556,6,2
0.89601,0.15483,0.39537,0.96267,5,2
0.75102,0.67096,0.52243,0.90651,7,2
0.45221,0.77981,0.50672,0.88237,5,2
0.88889,0.36973,0.42183,0.86578,2,1
0.49299,0.311,0.56784,0.87211,2,1
0.2658,0.47849,0.78416,0.97642,3,1
0.34261,0.36381,0.65359,0.9045,6,2
0.53506,0.43505,0.58533,0.94222,7,2
0.3688,0.50191,0.69845,0.98042,8,3
0.22999,0.34694,0.48064,0.91583,4.5,1
0.48194,0.039542,0.57984,0.95111,7,2
0.39616,0.083137,0.59079,0.91378,7,2
0.34209,0.18605,0.62584,0.92419,4.5,1
0.73985,0.78728,0.50177,0.85326,5,2
0.89559,0.51531,0.48681,0.89474,9,3
0.52686,0.32061,0.56658,0.87262,2,1
0.40583,0.49576,0.58233,0.97837,8,3
