72,6.8009,0.9192,30.76,0.026639,0.012429,0.01266,0,0,9,0,0.01143,0.42907,0.010619,0.39862,0.8682,0.8704,0.99747,0.49937,0.50063,0.8704,0.0087884,0.036634,0.2399,0.9192,898.62,29.457,-58.4,109.08,30.76,30.76,6,2
72,6.7452,0.74797,30.76,0.087044,0.049687,0.04805,4,2,7,0.4,0.045351,0.52102,0.043803,0.50323,0.48537,0.48608,0.99853,0.49963,0.50037,0.48608,0.035134,0.11798,0.2978,0.74797,849.96,14.999,-26.45,29.308,30.76,30.76,6,2
72,6.6673,0.67065,30.76,0.21671,0.14507,0.13706,6,3,6,0.6,0.11725,0.54104,0.1042,0.48081,0.25289,0.25597,0.98799,0.49698,0.50302,0.25597,0.10258,0.2888,0.3552,0.67065,786.28,16.49,-22.4,38.494,30.76,30.76,6,2
72,6.6522,0.58105,30.76,0.20501,0.12763,0.12168,6,3,6,0.6,0.10729,0.52336,0.098888,0.48236,0.19165,0.19299,0.99305,0.49826,0.50174,0.19299,0.090248,0.27553,0.32755,0.58105,774.46,4.2989,-4.9,6.6933,30.76,30.76,6,2
72,6.6482,0.85416,30.76,0.071928,0.056266,0.058364,6,4,5,0.6,0.052357,0.72791,0.047785,0.66435,0.6738,0.67497,0.99826,0.49956,0.50044,0.67497,0.039786,0.093617,0.42499,0.85416,771.42,5.0968,5.65,11.244,30.76,30.76,6,2
72,6.6665,0.6159,30.76,0.19559,0.058484,0.079148,4,0,9,0.4,0.061206,0.31293,0.054422,0.27824,0.30209,0.30227,0.9994,0.49985,0.50015,0.30227,0.041354,0.2735,0.15121,0.6159,785.64,3.8155,1,12.347,30.76,30.76,6,2
72,6.6424,0.52033,30.76,0.15149,0.071634,0.077303,5,5,4,0.5,0.06858,0.45272,0.065041,0.42935,0.18472,0.18512,0.99782,0.49945,0.50055,0.18512,0.050653,0.20816,0.24334,0.52033,766.92,6.2562,-4.8,22.527,30.76,30.76,6,2
70.42,6.645,0.8286,30.76,0.067683,0.02587,0.028696,1,0,9,0.1,0.023966,0.35409,0.019247,0.28436,0.72851,0.73085,0.9968,0.4992,0.5008,0.73085,0.018293,0.093954,0.1947,0.8286,768.94,9.2674,8.35,29.997,30.76,30.76,6,2
69.32,6.6675,0.69554,30.76,0.072773,0.034887,0.034821,0,0,9,0,0.030603,0.42053,0.027875,0.38303,0.50666,0.50841,0.99657,0.49914,0.50086,0.50841,0.024669,0.099917,0.24689,0.69554,786.46,10.036,-11.35,18.513,30.76,30.76,6,2
71.76,6.6618,0.34345,30.76,0.20936,0.037815,0.069246,5,0,9,0.5,0.059362,0.28355,0.044467,0.2124,0.14111,0.14243,0.99072,0.49767,0.50233,0.14243,0.02674,0.29486,0.090684,0.34345,781.92,9.4682,5.15,22.268,30.76,30.76,6,2
72.42,6.6751,0.33649,30.76,0.14372,0.056982,0.067092,5,5,4,0.5,0.0601,0.41817,0.059731,0.4156,0.17373,0.17672,0.98305,0.49573,0.50427,0.17672,0.040292,0.19922,0.20225,0.33649,792.46,7.4952,6.95,16.747,30.76,30.76,6,2
